ICD_CODE,ATC_CODE,RELATION,FREQUENCY
25060,DRUG_39074,treats,11
2724,DRUG_94252,treats,11
4019,DRUG_34497,treats,11
4019,DRUG_57538,treats,11
42731,DRUG_90353,treats,11
5990,DRUG_17057,treats,11
V5861,DRUG_17057,treats,11
V5861,DRUG_18809,treats,11
2859,DRUG_16971,treats,11
2449,DRUG_90775,treats,11
311,DRUG_18769,treats,11
51881,DRUG_12470,treats,11
2761,DRUG_12470,treats,10
2761,DRUG_97910,treats,10
70703,DRUG_12638,treats,10
70703,DRUG_83139,treats,10
25000,DRUG_64785,treats,10
25000,DRUG_06485,treats,10
42731,DRUG_24647,treats,10
99591,DRUG_36800,treats,10
41401,DRUG_06485,treats,10
5849,DRUG_49098,treats,10
5849,DRUG_56158,treats,10
5849,DRUG_39074,treats,10
2859,DRUG_22257,treats,10
2449,DRUG_49098,treats,10
2449,DRUG_22257,treats,10
2449,DRUG_79790,treats,10
2449,DRUG_65380,treats,10
51881,DRUG_82115,treats,10
51881,DRUG_81691,treats,10
0389,DRUG_42537,treats,10
0389,DRUG_66345,treats,10
0389,DRUG_79790,treats,10
0389,DRUG_83139,treats,10
25000,DRUG_56776,treats,10
70703,DRUG_18809,treats,10
99592,DRUG_07048,treats,10
99592,DRUG_66345,treats,10
4019,DRUG_49098,treats,10
4280,DRUG_83266,treats,10
5849,DRUG_75708,treats,10
42731,DRUG_75708,treats,10
4439,DRUG_36800,treats,10
5859,DRUG_93890,treats,10
5849,DRUG_77783,treats,10
2724,DRUG_05522,treats,10
496,DRUG_93890,treats,10
2449,DRUG_12470,treats,10
5990,DRUG_94252,treats,10
2724,DRUG_66345,treats,10
2724,DRUG_90775,treats,10
2760,DRUG_93890,treats,10
2762,DRUG_93890,treats,10
2760,DRUG_12638,treats,10
2724,DRUG_85419,treats,10
4280,DRUG_56776,treats,10
5849,DRUG_24647,treats,10
311,DRUG_93890,treats,10
5990,DRUG_75708,treats,10
3572,DRUG_34497,treats,10
2449,DRUG_34497,treats,10
25060,DRUG_51618,treats,10
25060,DRUG_15657,treats,10
25060,DRUG_94252,treats,10
25060,DRUG_18809,treats,10
2724,DRUG_22257,treats,10
486,DRUG_56289,treats,10
5990,DRUG_90353,treats,10
70703,DRUG_51618,treats,10
70703,DRUG_18769,treats,10
70703,DRUG_78549,treats,10
70703,DRUG_94252,treats,10
5849,DRUG_29813,treats,10
5990,DRUG_05522,treats,10
2859,DRUG_65728,treats,10
5849,DRUG_88865,treats,9
2761,DRUG_16971,treats,9
2762,DRUG_65380,treats,9
70703,DRUG_66345,treats,9
25000,DRUG_18809,treats,9
99591,DRUG_12638,treats,9
41401,DRUG_65380,treats,9
2859,DRUG_42537,treats,9
2449,DRUG_66345,treats,9
2449,DRUG_05522,treats,9
53081,DRUG_83139,treats,9
51881,DRUG_22257,treats,9
51881,DRUG_39424,treats,9
51881,DRUG_05522,treats,9
0389,DRUG_15657,treats,9
25000,DRUG_00654,treats,9
25000,DRUG_22257,treats,9
70703,DRUG_56289,treats,9
70703,DRUG_73347,treats,9
99592,DRUG_09553,treats,9
99592,DRUG_42537,treats,9
99592,DRUG_56158,treats,9
99592,DRUG_79790,treats,9
99592,DRUG_56289,treats,9
99592,DRUG_57970,treats,9
4280,DRUG_05522,treats,9
4280,DRUG_75708,treats,9
5849,DRUG_93795,treats,9
5849,DRUG_31023,treats,9
5990,DRUG_56776,treats,9
4019,DRUG_86770,treats,9
5849,DRUG_65728,treats,9
2724,DRUG_16971,treats,9
2724,DRUG_49098,treats,9
2724,DRUG_15657,treats,9
2724,DRUG_65728,treats,9
486,DRUG_83266,treats,9
486,DRUG_65728,treats,9
486,DRUG_05522,treats,9
496,DRUG_36800,treats,9
40390,DRUG_93890,treats,9
40390,DRUG_36800,treats,9
2449,DRUG_16971,treats,9
2449,DRUG_83266,treats,9
99592,DRUG_93795,treats,9
4280,DRUG_23063,treats,9
486,DRUG_31023,treats,9
2851,DRUG_12638,treats,9
4019,DRUG_25548,treats,9
2760,DRUG_15657,treats,9
2760,DRUG_83139,treats,9
0389,DRUG_78549,treats,9
4280,DRUG_22257,treats,9
5070,DRUG_12638,treats,9
99592,DRUG_18769,treats,9
5990,DRUG_00654,treats,9
5849,DRUG_51618,treats,9
3572,DRUG_18769,treats,9
3572,DRUG_17057,treats,9
3572,DRUG_78549,treats,9
3572,DRUG_56289,treats,9
51881,DRUG_81907,treats,9
51881,DRUG_57538,treats,9
2761,DRUG_56289,treats,9
42731,DRUG_86770,treats,9
42731,DRUG_57538,treats,9
25060,DRUG_34497,treats,9
25060,DRUG_56289,treats,9
2724,DRUG_51618,treats,9
2724,DRUG_09553,treats,9
2724,DRUG_34497,treats,9
2724,DRUG_07048,treats,9
486,DRUG_22257,treats,9
486,DRUG_42537,treats,9
486,DRUG_85419,treats,9
42731,DRUG_05899,treats,9
5849,DRUG_97334,treats,9
V440,DRUG_51618,treats,9
V440,DRUG_09553,treats,9
V440,DRUG_34497,treats,9
V440,DRUG_15657,treats,9
V440,DRUG_07048,treats,9
V440,DRUG_56158,treats,9
V440,DRUG_94252,treats,9
V440,DRUG_90775,treats,9
V440,DRUG_97910,treats,9
V440,DRUG_36800,treats,9
V440,DRUG_39074,treats,9
99592,DRUG_57538,treats,9
5990,DRUG_51618,treats,9
5990,DRUG_09553,treats,9
5990,DRUG_34497,treats,9
5990,DRUG_07048,treats,9
5990,DRUG_56158,treats,9
5990,DRUG_39074,treats,9
5990,DRUG_74099,treats,9
V5861,DRUG_51618,treats,9
V5861,DRUG_09553,treats,9
V5861,DRUG_12638,treats,9
V5861,DRUG_34497,treats,9
V5861,DRUG_07048,treats,9
V5861,DRUG_56158,treats,9
V5861,DRUG_93890,treats,9
V5861,DRUG_94252,treats,9
V5861,DRUG_56289,treats,9
V5861,DRUG_39074,treats,9
V5861,DRUG_83139,treats,9
70703,DRUG_34497,treats,9
70703,DRUG_90775,treats,9
311,DRUG_78549,treats,9
99592,DRUG_77783,treats,9
V5861,DRUG_79790,treats,9
5849,DRUG_12595,treats,8
V4581,DRUG_36800,treats,8
4280,DRUG_17057,treats,8
4280,DRUG_38458,treats,8
2875,DRUG_16971,treats,8
5119,DRUG_12638,treats,8
5119,DRUG_36800,treats,8
2762,DRUG_12638,treats,8
2762,DRUG_83139,treats,8
42731,DRUG_97334,treats,8
99591,DRUG_18809,treats,8
41401,DRUG_42537,treats,8
5849,DRUG_39424,treats,8
2859,DRUG_00654,treats,8
2859,DRUG_07048,treats,8
2859,DRUG_66345,treats,8
2449,DRUG_56289,treats,8
53081,DRUG_79790,treats,8
53081,DRUG_65380,treats,8
51881,DRUG_00654,treats,8
51881,DRUG_66345,treats,8
0389,DRUG_09553,treats,8
0389,DRUG_07048,treats,8
0389,DRUG_56158,treats,8
0389,DRUG_18809,treats,8
25000,DRUG_15657,treats,8
25000,DRUG_17057,treats,8
25000,DRUG_81691,treats,8
70703,DRUG_49098,treats,8
99592,DRUG_49098,treats,8
99592,DRUG_39074,treats,8
99592,DRUG_18809,treats,8
4280,DRUG_82115,treats,8
2948,DRUG_93890,treats,8
2948,DRUG_12470,treats,8
2948,DRUG_36800,treats,8
4019,DRUG_93795,treats,8
5990,DRUG_64785,treats,8
41401,DRUG_97910,treats,8
4439,DRUG_18769,treats,8
4439,DRUG_97910,treats,8
4439,DRUG_78549,treats,8
5859,DRUG_79790,treats,8
5859,DRUG_97910,treats,8
4019,DRUG_62191,treats,8
25000,DRUG_65728,treats,8
42731,DRUG_77783,treats,8
2724,DRUG_06485,treats,8
486,DRUG_77783,treats,8
40390,DRUG_12470,treats,8
40390,DRUG_83139,treats,8
41401,DRUG_65728,treats,8
0389,DRUG_16971,treats,8
78552,DRUG_16971,treats,8
78552,DRUG_83139,treats,8
486,DRUG_56776,treats,8
2724,DRUG_64785,treats,8
2851,DRUG_16971,treats,8
2851,DRUG_65380,treats,8
2851,DRUG_36800,treats,8
5849,DRUG_23063,treats,8
53081,DRUG_12470,treats,8
42731,DRUG_81691,treats,8
2760,DRUG_94252,treats,8
0389,DRUG_18769,treats,8
5070,DRUG_18769,treats,8
5070,DRUG_78549,treats,8
99592,DRUG_78549,treats,8
311,DRUG_39074,treats,8
5849,DRUG_34497,treats,8
3572,DRUG_66345,treats,8
51881,DRUG_83266,treats,8
25060,DRUG_18769,treats,8
25060,DRUG_66345,treats,8
25060,DRUG_17057,treats,8
25060,DRUG_78549,treats,8
2724,DRUG_56158,treats,8
2724,DRUG_57538,treats,8
2724,DRUG_39074,treats,8
486,DRUG_29813,treats,8
41071,DRUG_85419,treats,8
V440,DRUG_18769,treats,8
V440,DRUG_17057,treats,8
V440,DRUG_78549,treats,8
V440,DRUG_18809,treats,8
78552,DRUG_15657,treats,8
5849,DRUG_90353,treats,8
99592,DRUG_51618,treats,8
99592,DRUG_90775,treats,8
3572,DRUG_90775,treats,8
V5861,DRUG_90353,treats,8
V5861,DRUG_15657,treats,8
V5861,DRUG_12470,treats,8
V5861,DRUG_90775,treats,8
2859,DRUG_90353,treats,8
2859,DRUG_18769,treats,8
2859,DRUG_90775,treats,8
311,DRUG_17057,treats,8
311,DRUG_83139,treats,8
53081,DRUG_12638,treats,8
2760,DRUG_17057,treats,8
2760,DRUG_90775,treats,8
2760,DRUG_18809,treats,8
5990,DRUG_06485,treats,8
51881,DRUG_38458,treats,8
496,DRUG_12638,treats,8
51881,DRUG_06485,treats,8
1977,DRUG_12470,treats,8
1977,DRUG_83139,treats,8
486,DRUG_88865,treats,8
5990,DRUG_83266,treats,8
486,DRUG_45529,treats,8
486,DRUG_97334,treats,8
2859,DRUG_88865,treats,8
42731,DRUG_88865,treats,8
51881,DRUG_65728,treats,8
4280,DRUG_88865,treats,7
4280,DRUG_12595,treats,7
5119,DRUG_97910,treats,7
5119,DRUG_83139,treats,7
2761,DRUG_79790,treats,7
2762,DRUG_79790,treats,7
2762,DRUG_12470,treats,7
00845,DRUG_97910,treats,7
4240,DRUG_36800,treats,7
40391,DRUG_12638,treats,7
40391,DRUG_36800,treats,7
42731,DRUG_38458,treats,7
V5867,DRUG_36800,treats,7
99591,DRUG_12470,treats,7
2859,DRUG_09553,treats,7
2859,DRUG_49098,treats,7
2859,DRUG_56158,treats,7
2859,DRUG_39074,treats,7
2859,DRUG_74099,treats,7
2859,DRUG_18809,treats,7
2859,DRUG_57970,treats,7
2449,DRUG_73347,treats,7
51881,DRUG_18809,treats,7
0389,DRUG_05899,treats,7
0389,DRUG_17057,treats,7
0389,DRUG_56289,treats,7
0389,DRUG_39074,treats,7
5070,DRUG_65380,treats,7
5070,DRUG_17057,treats,7
25000,DRUG_49098,treats,7
25000,DRUG_66345,treats,7
25000,DRUG_57970,treats,7
70703,DRUG_74099,treats,7
99592,DRUG_22257,treats,7
99592,DRUG_05522,treats,7
4019,DRUG_68674,treats,7
4019,DRUG_74099,treats,7
4019,DRUG_87094,treats,7
4019,DRUG_73347,treats,7
4280,DRUG_25520,treats,7
99591,DRUG_97910,treats,7
0414,DRUG_12638,treats,7
0414,DRUG_36800,treats,7
2761,DRUG_22257,treats,7
2761,DRUG_56776,treats,7
5849,DRUG_49892,treats,7
41401,DRUG_72422,treats,7
4439,DRUG_79790,treats,7
4019,DRUG_24647,treats,7
4280,DRUG_19186,treats,7
4280,DRUG_77783,treats,7
25000,DRUG_83266,treats,7
42731,DRUG_49098,treats,7
2724,DRUG_57970,treats,7
486,DRUG_82115,treats,7
486,DRUG_06485,treats,7
5859,DRUG_16971,treats,7
5859,DRUG_12470,treats,7
5859,DRUG_83139,treats,7
496,DRUG_18769,treats,7
496,DRUG_78549,treats,7
496,DRUG_06485,treats,7
32723,DRUG_93890,treats,7
32723,DRUG_12470,treats,7
32723,DRUG_36800,treats,7
32723,DRUG_83139,treats,7
4439,DRUG_93890,treats,7
99592,DRUG_12470,treats,7
0389,DRUG_12470,treats,7
0389,DRUG_93795,treats,7
78552,DRUG_94252,treats,7
78552,DRUG_65380,treats,7
5990,DRUG_93795,treats,7
486,DRUG_18809,treats,7
2851,DRUG_05522,treats,7
2760,DRUG_22257,treats,7
2760,DRUG_12470,treats,7
5070,DRUG_94252,treats,7
5849,DRUG_69059,treats,7
2768,DRUG_36800,treats,7
V4581,DRUG_93890,treats,7
2724,DRUG_00654,treats,7
4280,DRUG_42471,treats,7
5849,DRUG_79422,treats,7
311,DRUG_56289,treats,7
4439,DRUG_12638,treats,7
78552,DRUG_56289,treats,7
3572,DRUG_83139,treats,7
2761,DRUG_18769,treats,7
25060,DRUG_83139,treats,7
42731,DRUG_25548,treats,7
4240,DRUG_79790,treats,7
42731,DRUG_42471,treats,7
4280,DRUG_72422,treats,7
4280,DRUG_31289,treats,7
78552,DRUG_57538,treats,7
78552,DRUG_17057,treats,7
42731,DRUG_74099,treats,7
25060,DRUG_90775,treats,7
99592,DRUG_90353,treats,7
3572,DRUG_90353,treats,7
70703,DRUG_90353,treats,7
2859,DRUG_51618,treats,7
2859,DRUG_57538,treats,7
2859,DRUG_78549,treats,7
2859,DRUG_94252,treats,7
2859,DRUG_75708,treats,7
2449,DRUG_90353,treats,7
311,DRUG_51618,treats,7
311,DRUG_09553,treats,7
311,DRUG_34497,treats,7
311,DRUG_15657,treats,7
311,DRUG_07048,treats,7
311,DRUG_56158,treats,7
311,DRUG_94252,treats,7
311,DRUG_90775,treats,7
311,DRUG_18809,treats,7
2760,DRUG_90353,treats,7
2760,DRUG_51618,treats,7
2760,DRUG_09553,treats,7
2760,DRUG_34497,treats,7
2760,DRUG_81907,treats,7
2760,DRUG_07048,treats,7
2760,DRUG_56158,treats,7
42731,DRUG_69059,treats,7
4019,DRUG_69059,treats,7
5990,DRUG_65728,treats,7
1970,DRUG_12638,treats,7
1977,DRUG_12638,treats,7
V5861,DRUG_65380,treats,7
2761,DRUG_05522,treats,7
2724,DRUG_88865,treats,7
V1251,DRUG_12638,treats,7
0389,DRUG_51618,treats,7
2930,DRUG_36800,treats,7
25000,DRUG_88865,treats,7
51881,DRUG_89898,treats,7
51881,DRUG_97334,treats,7
4280,DRUG_57538,treats,7
2761,DRUG_31023,treats,7
2859,DRUG_31023,treats,7
53081,DRUG_65728,treats,7
V440,DRUG_73347,treats,7
42731,DRUG_73347,treats,7
2762,DRUG_17057,treats,7
51881,DRUG_27121,treats,7
2859,DRUG_06485,treats,7
V4581,DRUG_16971,treats,6
V4581,DRUG_85419,treats,6
4280,DRUG_49248,treats,6
41400,DRUG_36800,treats,6
2875,DRUG_36800,treats,6
5119,DRUG_16971,treats,6
5180,DRUG_97910,treats,6
5180,DRUG_83139,treats,6
2761,DRUG_89898,treats,6
5789,DRUG_36800,treats,6
2800,DRUG_36800,treats,6
2762,DRUG_16971,treats,6
70703,DRUG_79790,treats,6
70703,DRUG_05899,treats,6
70703,DRUG_65380,treats,6
00845,DRUG_42537,treats,6
00845,DRUG_79790,treats,6
4240,DRUG_85419,treats,6
4280,DRUG_25247,treats,6
25000,DRUG_62191,treats,6
25000,DRUG_42537,treats,6
25000,DRUG_24647,treats,6
4241,DRUG_64785,treats,6
40391,DRUG_83139,treats,6
42731,DRUG_62191,treats,6
V5867,DRUG_18809,treats,6
99591,DRUG_16971,treats,6
41401,DRUG_16971,treats,6
5849,DRUG_22273,treats,6
2859,DRUG_05899,treats,6
2859,DRUG_05522,treats,6
2449,DRUG_05899,treats,6
2449,DRUG_74099,treats,6
2449,DRUG_56776,treats,6
2449,DRUG_57970,treats,6
53081,DRUG_22257,treats,6
53081,DRUG_42537,treats,6
53081,DRUG_15657,treats,6
53081,DRUG_17057,treats,6
53081,DRUG_56289,treats,6
0389,DRUG_49098,treats,6
5070,DRUG_15657,treats,6
5070,DRUG_83139,treats,6
5070,DRUG_56776,treats,6
25000,DRUG_39424,treats,6
70703,DRUG_22257,treats,6
70703,DRUG_05522,treats,6
70703,DRUG_56776,treats,6
70703,DRUG_57970,treats,6
4019,DRUG_22273,treats,6
4019,DRUG_82115,treats,6
4019,DRUG_39424,treats,6
4280,DRUG_91074,treats,6
42731,DRUG_40576,treats,6
42731,DRUG_82115,treats,6
42731,DRUG_93795,treats,6
42731,DRUG_65151,treats,6
2875,DRUG_93890,treats,6
2948,DRUG_79790,treats,6
2948,DRUG_97910,treats,6
2948,DRUG_83139,treats,6
99591,DRUG_93890,treats,6
99591,DRUG_75708,treats,6
4019,DRUG_65151,treats,6
2761,DRUG_15657,treats,6
5990,DRUG_89898,treats,6
5849,DRUG_72422,treats,6
41401,DRUG_05522,treats,6
41401,DRUG_18769,treats,6
41071,DRUG_42537,treats,6
41071,DRUG_79790,treats,6
5859,DRUG_05522,treats,6
5119,DRUG_93890,treats,6
4280,DRUG_15657,treats,6
25000,DRUG_78751,treats,6
25000,DRUG_77783,treats,6
42731,DRUG_12595,treats,6
486,DRUG_15657,treats,6
486,DRUG_57970,treats,6
5859,DRUG_18769,treats,6
5859,DRUG_65728,treats,6
496,DRUG_79790,treats,6
496,DRUG_12470,treats,6
496,DRUG_83139,treats,6
40390,DRUG_16971,treats,6
40390,DRUG_65728,treats,6
2449,DRUG_65728,treats,6
78552,DRUG_93795,treats,6
5990,DRUG_66345,treats,6
5990,DRUG_23063,treats,6
2851,DRUG_79790,treats,6
2851,DRUG_12470,treats,6
2851,DRUG_83139,treats,6
25000,DRUG_89898,treats,6
25000,DRUG_90775,treats,6
5070,DRUG_12470,treats,6
41401,DRUG_00654,treats,6
2760,DRUG_16971,treats,6
2760,DRUG_79790,treats,6
0389,DRUG_31023,treats,6
0389,DRUG_85419,treats,6
4280,DRUG_25548,treats,6
00845,DRUG_93890,treats,6
99592,DRUG_31023,treats,6
40390,DRUG_97910,treats,6
